Count,Name,1A1-1,S1-1,S1-1B,Visibility,WATT,WATTB,ADDRESS1,ADDRESS2,DESC2,DESCBRD1,DESCBRD2,DESCBRD3,DESCBRD4,DESCBRD5,DEVICEA,DEVICEB,DEVICEC,DEVICED,DEVICEE,DEVICEE(1),DEVICEF,DEVICEH,DEVICEJ,DEVICEY,BPS,DESC1,Visibility1,Position X1,Position Y1,Position1 X,Position1 Y,Subject,Position2 X,Position2 Y
1,FPS SENSOR 4-21,,,,Heat,,,0020060017,,,,,,,,,,,,,,SIGA-HRS,,,,,,,"-4'-0 3/4""","-1'-7 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Heat,,,0020060018,,,,,,,,,,,,,,SIGA-HRS,,,,,,,"0'-9 1/4""","-1'-7 7/8""",,,,,
1,FPS CAV 4-22,1H1-2,1S9-3,,SV - 75cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-2'-8 5/8""","1'-6""",,,,,
1,FPS CAV 4-22,1G1-1,1S9-1,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-2 3/4""","2'-5 1/4""",,,,,
1,FPS CAV 4-22,1G1-2,1S9-11,,SV - 75cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"1'-10""","-1'-9""",,,,,
1,FPS CAV 4-22,1H1-7,1S9-9,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-8 1/2""","-0'-10 1/8""",,,,,
1,FPS CAV 4-22,1H1-4,1S9-6,,SV - 177cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"0'-3 3/8""","3'-5 3/8""","2'-0""","1'-1""",,,
1,FPS CAV 4-22,1H1-8 EOL,1S9-10,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-3'-6""","0'-0 1/4""",,,,,
1,FPS CAV 4-22,1H1-5,1S9-7,,SV - 177cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-5 1/4""","2'-6 3/8""","2'-0""","1'-1""",,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0020060035,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-0'-7 5/8""","-1'-9""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060016,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-0'-7 1/8""","1'-4 5/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060002,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-5'-1 1/2""","-0'-9 3/4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060003,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-9""","0'-7 3/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060007,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-0'-8 5/8""","1'-1 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060050,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-5""","1'-2""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060048,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-0'-11 1/4""","-1'-5 3/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060006,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-10 1/4""","-0'-11 1/2""",,,,,
1,FPS SENSOR 4-21,,,,Heat,,,0030060056,,,,,,,,,,,,,,SIGA-HRS,,,,,,,"-1'-6 3/8""","0'-10 3/4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0020060039,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-4'-2 1/2""","-1'-5 3/4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0020060037,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"0'-9 1/4""","-1'-7 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Heat,,,0020060024,,,,,,,,,,,,,,SIGA-HRS,,,,,,,"-1'-3 3/4""","1'-1 1/2""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060012,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-3'-0""","1'-5""",,,,,
1,FPS SENSOR 4-21,,,,Heat,,,0020060038,,,,,,,,,,,,,,SIGA-HRS,,,,,,,"0'-9 1/4""","-1'-7 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Heat,,,0020060033,,,,,,,,,,,,,,SIGA-HRS,,,,,,,"-0'-5 7/8""","1'-1 1/2""",,,,,
1,FPS CAV 4-22,1E1-3,1S7-25,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-1'-3 3/8""","-2'-11 3/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0030060011,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-0'-4 5/8""","-1'-7 3/4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0030060010,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-2'-10 7/8""","-1'-7""",,,,,
1,FPS CAV 4-22,,,1S7-10,Speaker,,1/4w,,,,,,,,,,,,,,,,,,,,,,"-1'-10 1/8""","-1'-8 3/4""",,,,,
1,FPS CAV 4-22,,,1S7-12,Speaker,,1/4w,,,,,,,,,,,,,,,,,,,,,,"-2'-10 3/4""","0'-1""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0030060014,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-0'-4 1/2""","-1'-7 3/8""",,,,,
1,FPS CAV 4-22,,,1S7-13,Speaker,,1/4w,,,,,,,,,,,,,,,,,,,,,,"1'-11 7/8""","-1'-5 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0030060013,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-3'-0""","-1'-6 3/4""",,,,,
1,FPS CAV 4-22,1D1-8,1S5-8,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"1'-11 3/4""","-1'-5 3/4""",,,,,
1,FPS CAV 4-22,1D1-13 EOL,1S5-19 EOL,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-3'-8 1/8""","-1'-3 1/2""",,,,,
1,FPS CAV 4-22,1E3-8,1S5-18,,SV - 177cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-1'-3 7/8""","3'-5 3/8""","2'-0""","1'-1""",,,
1,FPS CAV 4-22,1D1-6,1S5-6,,SV - 75cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-2 5/8""","-1'-3 5/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0030060009,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"0'-7 1/2""","-1'-6 7/8""",,,,,
1,FPS CAV 4-22,,,1S7-9,Speaker,,1/4w,,,,,,,,,,,,,,,,,,,,,,"2'-1 1/2""","-1'-7""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0030060007,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-2'-5 1/2""","-1'-7 1/8""",,,,,
1,FPS CAV 4-22,,,1S7-15,Speaker,,1/4w,,,,,,,,,,,,,,,,,,,,,,"-1'-2 3/4""","-1'-8 3/4""",,,,,
1,FPS WAV 9-21,1E2-7,1S8-2,,WP SV - 30cd,1/2w,,,,,,,,,,,,,,,,,,,,,,,"1'-1 7/8""","-0'-8 3/4""",,,,"-0'-4""","-2'-7 7/8"""
1,FPS PANELS 4-21,,,,BPS,,,,,,,,,,,,,,,,,,,,,APS1E,,,,,,,,,
1,FPS PANELS 4-21,,,,BPS,,,,,,,,,,,,,,,,,,,,,APS1B,,,,,,,,,
1,FPS PANELS 4-21,,,,DOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060052,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-1'-9 1/4""","-1'-5 1/2""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060054,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-10 7/8""","0'-8 1/4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0030060036,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-3'-0 3/4""","1'-0 1/4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060011,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-9 1/4""","-1'-7 7/8""",,,,,
1,FPS CAV 4-22,1F1-11 EOL,1S7-17,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-3'-0 5/8""","0'-8 3/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060015,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-9 1/8""","-1'-1""",,,,,
1,FPS CAV 4-22,1E2-2,1S7-23,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-3'-9 1/4""","0'-9 1/4""",,,,,
1,FPS PANELS 4-21,,,,BPS,,,,,,,,,,,,,,,,,,,,,APS1A,,,,,,,,,
1,FPS CAV 4-22,1E2-1,1S7-24,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-3'-9 1/4""","0'-9 1/4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060012,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-9 1/4""","-1'-7 7/8""",,,,,
1,FPS CAV 4-22,1F1-2,1S7-1,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-5""","1'-6""",,,,,
1,FPS CAV 4-22,1F1-1,1S7-3,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-2'-3 3/4""","-0'-3 5/8""",,,,,
1,FPS CAV 4-22,1F1-8,1S7-4,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-2'-1 3/4""","2'-5 1/4""",,,,,
1,FPS CAV 4-22,1C1-13,1S3-21,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-7 1/2""","-1'-0 1/8""",,,,,
1,FPS CAV 4-22,1C1-10,1S3-18,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"1'-0 7/8""","-1'-9 3/8""",,,,,
1,FPS CAV 4-22,1C1-11,1S3-19,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"0'-9 3/8""","2'-11 1/8""",,,,,
1,FPS CAV 4-22,1C1-4,1S3-4,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"1'-0 3/8""","-1'-7 7/8""",,,,,
1,FPS CAV 4-22,1D1-3,1S5-3,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-1'-4 1/4""","-1'-11 5/8""",,,,,
1,FPS CAV 4-22,1E1-2,1S7-27,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"1'-11 3/8""","-1'-6 1/2""",,,,,
